"Index","total_flights","delay_flights","cancel_flights","divert_fligths","pct_delay","pct_divert"
2010-01-01,8912,1989,279,9,22.3182226211849,3.13061041292639
2010-02-01,8418,1918,785,23,22.7845093846519,9.32525540508434
2010-03-01,9637,2720,242,32,28.2245512088824,2.51115492373145
2010-04-01,9363,1312,58,7,14.0126027982484,0.619459574922568
2010-05-01,9360,1569,102,8,16.7628205128205,1.08974358974359
2010-06-01,9502,1955,157,5,20.5746158703431,1.65228372974111
2010-07-01,9992,2256,222,10,22.57806244996,2.22177742193755
2010-08-01,10173,2108,138,20,20.7215177430453,1.35653199646122
2010-09-01,9417,1708,144,6,18.137411065095,1.52914941064033
2010-10-01,9762,1897,131,9,19.4324933415284,1.3419381274329
2010-11-01,9558,1785,99,2,18.6754551161331,1.03578154425612
2010-12-01,9429,2483,678,6,26.3336515006894,7.19058224626153
2011-01-01,9000,1965,904,11,21.8333333333333,10.0444444444444
2011-02-01,8355,1511,654,7,18.0849790544584,7.82764811490126
2011-03-01,9501,2139,153,16,22.5134196400379,1.61035680454689
2011-04-01,9351,2568,207,10,27.4623034969522,2.21366698748797
2011-05-01,9542,3391,198,13,35.537623139803,2.07503667994131
2011-06-01,9552,2649,226,15,27.7324120603015,2.36599664991625
2011-07-01,9896,2336,208,8,23.605497170574,2.1018593371059
2011-08-01,9909,2653,698,17,26.7736401251388,7.04410132203048
2011-09-01,8845,2079,135,8,23.5048049745619,1.52628603730921
2011-10-01,9100,1827,99,1,20.0769230769231,1.08791208791209
2011-11-01,8496,1151,79,5,13.5475517890772,0.92984934086629
2011-12-01,8146,889,72,2,10.9133316965382,0.883869383746624
2012-01-01,8228,1254,107,12,15.2406417112299,1.30043753038405
2012-02-01,8016,857,62,5,10.6911177644711,0.773453093812375
2012-03-01,8869,1606,72,4,18.1080166873379,0.811816439282895
2012-04-01,8793,1142,39,1,12.9876037757307,0.443534629819174
2012-05-01,8987,1686,54,4,18.7604317347279,0.600867920329365
2012-06-01,8751,1970,118,12,22.5117129470918,1.34841732373443
2012-07-01,8960,2121,89,10,23.671875,0.993303571428571
2012-08-01,9140,1923,98,6,21.0393873085339,1.07221006564551
2012-09-01,8293,1490,69,6,17.9669600868202,0.832027010731943
2012-10-01,8809,1358,624,7,15.4160517652401,7.08366443410149
2012-11-01,8345,1240,90,2,14.8591971240264,1.07849011384062
2012-12-01,8024,1470,101,10,18.3200398803589,1.25872382851446
2013-01-01,8168,1134,81,13,13.8834476003918,0.991674828599412
2013-02-01,7714,1413,479,20,18.3173450868551,6.20948924034223
2013-03-01,9195,2089,218,12,22.7188689505166,2.37085372485046
2013-04-01,9318,1809,92,6,19.4140373470702,0.987336338270015
2013-05-01,9580,2009,58,9,20.9707724425887,0.605427974947808
2013-06-01,9750,2748,118,17,28.1846153846154,1.21025641025641
2013-07-01,10291,3045,150,20,29.5889612282577,1.45758429695851
2013-08-01,10392,2278,55,9,21.9207082371055,0.529253271747498
2013-09-01,9290,1434,73,9,15.4359526372443,0.785791173304629
2013-10-01,9702,1148,31,6,11.8326118326118,0.319521748093177
2013-11-01,9075,1044,55,9,11.504132231405,0.606060606060606
2013-12-01,8890,2249,223,18,25.2980877390326,2.50843644544432
2014-01-01,8283,1825,707,36,22.0330798020041,8.53555475069419
2014-02-01,7755,1571,593,13,20.2578981302386,7.64667956157318
2014-03-01,9322,1597,191,3,17.1315168418794,2.0489165415147
2014-04-01,9374,1544,65,5,16.4710902496266,0.693407296778323
2014-05-01,9534,1899,141,7,19.9181875393329,1.47891755821271
2014-06-01,9662,2279,141,6,23.5872490167667,1.45932519147174
2014-07-01,10098,2652,181,13,26.2626262626263,1.79243414537532
2014-08-01,9932,1984,65,7,19.975835682642,0.654450261780105
2014-09-01,9105,1288,69,9,14.1460735859418,0.757825370675453
2014-10-01,9673,2163,82,9,22.3612116199731,0.847720459009614
2014-11-01,9020,1602,51,3,17.7605321507761,0.565410199556541
2014-12-01,8872,1912,44,10,21.5509467989179,0.495942290351668
2015-01-01,8841,1970,658,10,22.2825472231648,7.44259699129058
2015-02-01,8383,2739,1123,20,32.6732673267327,13.3961588929977
2015-03-01,9980,2232,238,28,22.3647294589178,2.38476953907816
2015-04-01,10005,1895,68,10,18.9405297351324,0.679660169915042
2015-05-01,10243,1878,79,17,18.3344723225617,0.771258420384653
2015-06-01,10544,2488,138,7,23.5963581183612,1.30880121396055
2015-07-01,10837,2356,85,4,21.7403340407862,0.784349912337363
2015-08-01,10728,2399,97,23,22.362043251305,0.904175988068606
2015-09-01,9724,1622,45,6,16.6803784450843,0.462772521596051
2015-10-01,10161,1471,57,10,14.4769215628383,0.560968408621199
2015-11-01,9463,1370,50,6,14.4774384444679,0.528373665856494
2015-12-01,9103,1826,77,10,20.0593211029331,0.845874986268263
